0index,種類,効果,対象,ID
0,攻撃,/x割の 確率で 自分の すべての 能力が 上がる。,1,63
1,攻撃,/x割の 確率で 自分の 散弾が １段階 上がる。,1,31
2,攻撃,/x割の 確率で 自分の 集弾が １段階 上がる。,1,29
3,攻撃,/x割の 確率で 自分の 俊敏が １段階 上がる。,1,33
4,攻撃,/x割の 確率で 自分の 能力が ランダムに １つ １段階 上がる。,1,65
5,攻撃,/x割の 確率で 相手の 散弾を １段階 下げる。,1,36
6,攻撃,/x割の 確率で 相手の 散防を １段階 下げる。,1,37
7,攻撃,/x割の 確率で 相手の 散防を ２段階 下げる。,1,77
8,攻撃,/x割の 確率で 相手の 集弾を １段階 下げる。,1,34
9,攻撃,/x割の 確率で 相手の 集防を １段階 下げる。,1,35
10,攻撃,/x割の 確率で 相手の 俊敏を １段階 下げる。,1,38
11,攻撃,/x割の 確率で 相手の 能力を ランダムに １つ １段階 下げる。,1,64
12,攻撃,/x割の 確率で 相手の 命中を １段階 下げる。,1,78
13,攻撃,/x割の 確率で 相手は 無防備になる。,1,128
14,攻撃,/x割の 確率で 相手を ひるませる。,1,18
15,攻撃,/x割の 確率で 相手を ひるませる。カモフラージュ状態の 相手には 必ず当たり 威力が ２倍になる。,1,105
16,攻撃,/x割の 確率で 相手を 暗闇状態に する。,1,3
17,攻撃,/x割の 確率で 相手を 火傷状態に する。,1,2
18,攻撃,/x割の 確率で 相手を 火傷状態に する。自分は 与えた ダメージの ３分の１の ダメージを受ける。,1,99
19,攻撃,/x割の 確率で 相手を 恐怖状態に する。,1,4
20,攻撃,/x割の 確率で 相手を 恐怖状態に する。自分は 与えた ダメージの ３分の１の ダメージを受ける。,1,108
21,攻撃,/x割の 確率で 相手を 混乱させる。,1,17
22,攻撃,/x割の 確率で 相手を 衰弱状態に する。,1,94
23,攻撃,/x割の 確率で 相手を 停止状態に する。,1,6
24,攻撃,/x割の 確率で 相手を 毒状態に する。,1,1
25,攻撃,/x割の 確率で 相手を 麻痺か 暗闇か 恐怖に する。,1,96
26,攻撃,/x割の 確率で 相手を 麻痺状態に する。,1,5
27,攻撃,/x割の 確率で 相手を 麻痺状態に する。自分は 与えた ダメージの ３分の１の ダメージを受ける。,1,98
28,攻撃,/x割の 確率で 相手を 猛毒状態に する。,1,95
