0,NULL,Puppet Description
1,Reimu,Puppet with the power of Reimu Hakurei. Has the ability to fly and use spirit power. Strong against youkai Puppets. Will punch youkai Puppets when it sees them.
2,Marisa,Puppet with the power of Marisa Kirisame. Has the ability to use magic. Will carry off people's stuff and take it to its home. Shoots magic at opponents it hates.
3,Shingyoku,Puppet with the power of Shingyoku. If it finds agate, it will protect it at all costs. It first exhibited power when the man, woman, and yin-yang orb came together.
4,Magan,Puppet with the power of Yuugenmagan. Fires various danmaku from its large eyes. They're often found wandering around the gate to Makai.
5,Elis,Puppet with the power of Elis. Fires demonic magic from its stick. If controlling bat puppets, it can transform into a bat puppet itself.
6,Sariel,Puppet with the power of Sariel. Often exercises its power as an angel of death within Makai. The Puppet itself doesn't really know what its goal is or why it takes these actions.
7,Mima,Puppet with the power of Mima. Aims for the yin- yang orb that Reimu Puppets carry. It has no legs and floats around like a ghost, but it apparently can create legs if it wants to.
8,Kikuri,Puppet with the power of Kikuri. It pops out of the upper half of its disc-shaped body. Seen often in Hell, but can be found in Gensokyo. It is entrusted with the power of Hell's god.
9,Konngara,Puppet with the power of Konngara. Has the power of a knight of Hell and fights using a sword. While a Buddhist Puppet, it is easily mistaken as an oni Puppet due to the horn on its forehead.
10,Rika,Puppet with the power of Rika. Fights with a toy tank. The Puppet itself can make more tanks to fight with too. If you find a small Evil Eye É– Puppet, it will always be found near this Puppet.
11,Midboss,Story of Eastern Wonderland's Stage 2 Midboss
12,Meira,Puppet with the power of Meira. Seeks the power of the Hakureis and will challenge Reimu Puppets to battle. It's cordial to other Puppets though. Often found buried around the Hakurei Shrine.
13,Midboss,Story of Eastern Wonderland's Stage 4 Midboss
14,Ellen,Puppet with the power of Ellen. Its airheadedness is its charm point. Plays in a magic shop near the Hakurei Shrine. The cat puppet near her is named Sokrates.
15,Kotohime,Puppet with the power of Kotohime. Gathers strange things it finds. Goes around apprehending people with toy handcuffs and interrogating them.
16,Kana,Puppet with the power of Kana Anaberal. Has the power of a poltergeist. Has a counterfeit road sign toy from the outside world. Often seen in a large mansion near the Hakurei Shrine grounds.
17,Rikako,Puppet with the power of Rikako Asakura. This Puppet hides a great magical power. Trying to destroy something it made with the kappa. It blinks blearily when its glasses break.
18,Chiyuri,Puppet with the power of Chiyuri Kitashirakawa. It should be smart, but its plans never come together. It's surprisingly thorough and adept at running errands though. Yumemi Puppets hit it.
19,Yumemi,Puppet with the power of Yumemi Okazaki. Very clever and displays much more knowledge than you'd expect from a Puppet. Has a strong interest in magic things, as well as Puppets that can fly.
20,Ruukoto,Puppet with the power of Mimi and Ruukoto. Built with and equipped with internal nuclear power. Mimi searches for Marisa Puppets and Ruukoto searches for Reimu Puppets.
21,Orange,Puppet with the power of Orange. A very ordinary youkai. Not fickle or battle hungry, its danger level is low.
22,Kurumi,Puppet with the power of Kurumi. It was originally a lake guarding youkai. Perhaps for that reason, if it has something to protect, it burns with a sense of purpose.
23,Elly,Puppet with the power of Elly. Has a trademark on large scythes. Since it doesn't fight often, it's possible it has yet to show its true power.
24,Midboss,Lotus Land Story's Stage 4 Midboss
